model_name,provider,dataset,weighted_score
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,30.45%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,30.44%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,29.97%
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,29.92%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,29.88%
Reka Flash 3,Reka AI,Reka AI training dataset,29.34%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,29.17%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,28.94%
Mistral Small 3.1,Mistral,Mistral training dataset,28.70%
Gemma 2 27B,Google,Google training dataset,28.55%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,28.20%
Gemma 3 27B Instruct,Google,Google training dataset,28.08%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,27.66%
Granite 4.0 H Small,IBM,IBM training dataset,27.54%
Llama 3 Instruct 70B,Meta,Meta training dataset,27.45%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,27.13%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,26.89%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,26.88%
Mistral Small 3,Mistral,Mistral training dataset,26.52%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,26.50%
Gemma 3 12B Instruct,Google,Google training dataset,26.36%
Mistral Small (Sep '24),Mistral,Mistral training dataset,26.05%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,25.46%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,25.06%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,24.59%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,24.38%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,23.95%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,23.54%
Pixtral 12B (2409),Mistral,Mistral training dataset,22.58%
Gemma 2 9B,Google,Google training dataset,21.49%
Llama 2 Chat 70B,Meta,Meta training dataset,21.47%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,21.24%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,20.99%
LFM 40B,Liquid AI,Liquid AI training dataset,20.90%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,20.71%
Command-R+ (Aug '24),Cohere,Cohere training dataset,20.58%
Llama 3 Instruct 8B,Meta,Meta training dataset,20.48%
Gemma 3n E4B Instruct,Google,Google training dataset,20.38%
Llama 2 Chat 13B,Meta,Meta training dataset,20.29%
Command-R+ (Apr '24),Cohere,Cohere training dataset,20.26%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,20.25%
Codestral (May '24),Mistral,Mistral training dataset,20.18%
Granite 4.0 Micro,IBM,IBM training dataset,20.14%
DBRX Instruct,Databricks,Databricks training dataset,20.11%
Mistral NeMo,Mistral,Mistral training dataset,19.77%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,19.75%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,19.68%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,19.57%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,19.06%
Gemma 3 4B Instruct,Google,Google training dataset,19.04%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,18.99%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,18.87%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,18.87%
Granite 4.0 1B,IBM,IBM training dataset,18.77%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,18.60%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,18.26%
Granite 4.0 H 1B,IBM,IBM training dataset,18.13%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,17.87%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,17.43%
Llama 2 Chat 7B,Meta,Meta training dataset,17.31%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,16.69%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,15.70%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,15.69%
Aya Expanse 32B,Cohere,Cohere training dataset,15.11%
Gemma 3n E2B Instruct,Google,Google training dataset,14.90%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,14.48%
Ministral 8B,Mistral,Mistral training dataset,14.29%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,14.07%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,12.85%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,12.82%
Aya Expanse 8B,Cohere,Cohere training dataset,12.78%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,12.71%
Granite 4.0 H 350M,IBM,IBM training dataset,12.10%
Granite 4.0 350M,IBM,IBM training dataset,11.22%
Gemma 3 1B Instruct,Google,Google training dataset,9.41%
Gemma 3 270M,Google,Google training dataset,8.30%
