model_name,provider,dataset,weighted_score
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,34.05%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,33.77%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,33.76%
Reka Flash 3,Reka AI,Reka AI training dataset,33.72%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,33.52%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,33.49%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,33.42%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,33.12%
Arctic Instruct,Snowflake,Snowflake training dataset,33.09%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,32.92%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,32.69%
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,32.65%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,32.41%
Gemma 3 27B Instruct,Google,Google training dataset,31.77%
Mistral Small 3.1,Mistral,Mistral training dataset,31.75%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,31.44%
Gemma 2 27B,Google,Google training dataset,31.32%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,31.11%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,31.00%
Granite 4.0 H Small,IBM,IBM training dataset,30.74%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,30.40%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,30.24%
Llama 3 Instruct 70B,Meta,Meta training dataset,30.02%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,29.77%
Mistral Small 3,Mistral,Mistral training dataset,29.65%
Gemma 3 12B Instruct,Google,Google training dataset,29.58%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,29.10%
Mistral Small (Sep '24),Mistral,Mistral training dataset,28.44%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,28.41%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,27.48%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,27.44%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,26.64%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,26.58%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,25.91%
Pixtral 12B (2409),Mistral,Mistral training dataset,24.65%
Gemma 2 9B,Google,Google training dataset,23.84%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,23.14%
Gemma 3n E4B Instruct,Google,Google training dataset,23.12%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,23.00%
Llama 2 Chat 70B,Meta,Meta training dataset,22.95%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,22.78%
LFM 40B,Liquid AI,Liquid AI training dataset,22.77%
Command-R+ (Aug '24),Cohere,Cohere training dataset,22.50%
Granite 4.0 Micro,IBM,IBM training dataset,22.30%
Command-R+ (Apr '24),Cohere,Cohere training dataset,22.18%
Llama 3 Instruct 8B,Meta,Meta training dataset,22.08%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,21.93%
Llama 2 Chat 13B,Meta,Meta training dataset,21.90%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,21.86%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,21.82%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,21.69%
DBRX Instruct,Databricks,Databricks training dataset,21.68%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,21.36%
Mistral NeMo,Mistral,Mistral training dataset,21.35%
Gemma 3 4B Instruct,Google,Google training dataset,21.35%
Codestral (May '24),Mistral,Mistral training dataset,21.15%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,20.81%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,20.65%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,20.36%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,20.28%
Granite 4.0 1B,IBM,IBM training dataset,19.66%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,19.58%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,19.53%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,19.06%
Granite 4.0 H 1B,IBM,IBM training dataset,18.97%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,18.28%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,17.84%
Llama 2 Chat 7B,Meta,Meta training dataset,17.84%
Aya Expanse 32B,Cohere,Cohere training dataset,17.45%
Gemma 3n E2B Instruct,Google,Google training dataset,17.16%
Ministral 8B,Mistral,Mistral training dataset,16.61%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,16.41%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,15.33%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,15.14%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,14.89%
Aya Expanse 8B,Cohere,Cohere training dataset,14.58%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,14.46%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,13.27%
Granite 4.0 H 350M,IBM,IBM training dataset,12.10%
Granite 4.0 350M,IBM,IBM training dataset,11.28%
Gemma 3 1B Instruct,Google,Google training dataset,10.17%
Gemma 3 270M,Google,Google training dataset,8.20%
