model_name,provider,dataset,weighted_score
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,53.14%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,52.90%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,52.86%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,52.70%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,52.69%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,52.62%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,52.60%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,51.55%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,51.53%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,51.00%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,50.86%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,50.81%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,50.44%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,50.27%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,50.25%
Command-R (Aug '24),Cohere,Cohere training dataset,50.19%
Command-R (Mar '24),Cohere,Cohere training dataset,50.17%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,50.16%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,49.27%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,49.03%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,48.69%
Mistral 7B Instruct,Mistral,Mistral training dataset,47.50%
Codestral-Mamba,Mistral,Mistral training dataset,47.29%
Mistral Medium 3.1,Mistral,Mistral training dataset,46.68%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,46.48%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,46.35%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,46.29%
MiniMax M1 40k,MiniMax,MiniMax training dataset,45.59%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,45.21%
QwQ 32B,Alibaba,Alibaba training dataset,44.45%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,44.03%
Qwen2.5 Max,Alibaba,Alibaba training dataset,43.87%
Llama 4 Maverick,Meta,Meta training dataset,43.32%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,43.03%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,42.76%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,42.67%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,42.60%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,42.58%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,42.50%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,42.36%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,42.17%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,42.08%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,40.91%
Grok 2 (Dec '24),xAI,xAI training dataset,40.80%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,40.41%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,40.14%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,40.10%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,40.04%
Mistral Small 3.2,Mistral,Mistral training dataset,39.69%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,39.60%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,39.41%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,39.32%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,39.09%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,38.60%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,38.45%
Llama 4 Scout,Meta,Meta training dataset,38.23%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,38.17%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,38.16%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,37.97%
Devstral Small (Jul '25),Mistral,Mistral training dataset,37.66%
Grok-1,xAI,xAI training dataset,37.45%
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,37.37%
Pixtral Large,Mistral,Mistral training dataset,37.37%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,37.31%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,37.30%
R1 1776,Perplexity,Perplexity training dataset,37.23%
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,37.08%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,36.91%
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,36.77%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,36.76%
Solar Mini,Upstage,Upstage training dataset,36.73%
MiniMax-Text-01,MiniMax,MiniMax training dataset,36.69%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,36.62%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,36.59%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,36.34%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,36.05%
Devstral Small (May '25),Mistral,Mistral training dataset,36.05%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,36.00%
Command A,Cohere,Cohere training dataset,35.84%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,35.82%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,35.77%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,35.57%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,35.44%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,35.16%
Arctic Instruct,Snowflake,Snowflake training dataset,35.10%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,34.99%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,34.94%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,34.77%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,34.70%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,34.65%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,34.40%
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,34.38%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,34.05%
Reka Flash 3,Reka AI,Reka AI training dataset,33.69%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,33.58%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,33.25%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,33.05%
Mistral Small 3.1,Mistral,Mistral training dataset,33.01%
Gemma 2 27B,Google,Google training dataset,32.67%
Gemma 3 27B Instruct,Google,Google training dataset,32.54%
Granite 4.0 H Small,IBM,IBM training dataset,31.86%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,31.57%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,31.52%
Llama 3 Instruct 70B,Meta,Meta training dataset,31.51%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,31.04%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,30.83%
Gemma 3 12B Instruct,Google,Google training dataset,30.70%
Mistral Small 3,Mistral,Mistral training dataset,30.69%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,30.08%
Mistral Small (Sep '24),Mistral,Mistral training dataset,29.65%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,28.70%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,28.65%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,28.64%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,27.82%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,27.31%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,26.81%
Pixtral 12B (2409),Mistral,Mistral training dataset,25.65%
Gemma 2 9B,Google,Google training dataset,24.66%
Llama 2 Chat 70B,Meta,Meta training dataset,24.32%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,24.29%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,23.96%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,23.78%
Gemma 3n E4B Instruct,Google,Google training dataset,23.77%
LFM 40B,Liquid AI,Liquid AI training dataset,23.75%
Command-R+ (Aug '24),Cohere,Cohere training dataset,23.37%
Granite 4.0 Micro,IBM,IBM training dataset,23.11%
Llama 3 Instruct 8B,Meta,Meta training dataset,23.10%
Command-R+ (Apr '24),Cohere,Cohere training dataset,23.10%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,23.07%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,23.04%
Llama 2 Chat 13B,Meta,Meta training dataset,22.98%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,22.84%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,22.60%
DBRX Instruct,Databricks,Databricks training dataset,22.60%
Codestral (May '24),Mistral,Mistral training dataset,22.53%
Mistral NeMo,Mistral,Mistral training dataset,22.42%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,22.05%
Gemma 3 4B Instruct,Google,Google training dataset,22.02%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,21.83%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,21.57%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,21.43%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,21.13%
Granite 4.0 1B,IBM,IBM training dataset,20.91%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,20.78%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,20.75%
Granite 4.0 H 1B,IBM,IBM training dataset,20.33%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,20.14%
Llama 2 Chat 7B,Meta,Meta training dataset,18.80%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,18.64%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,18.62%
Aya Expanse 32B,Cohere,Cohere training dataset,17.98%
Gemma 3n E2B Instruct,Google,Google training dataset,17.49%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,17.43%
Ministral 8B,Mistral,Mistral training dataset,16.71%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,16.29%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,15.75%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,15.16%
Aya Expanse 8B,Cohere,Cohere training dataset,15.03%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,14.93%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,14.32%
Granite 4.0 H 350M,IBM,IBM training dataset,12.98%
Granite 4.0 350M,IBM,IBM training dataset,12.07%
Gemma 3 1B Instruct,Google,Google training dataset,10.56%
Gemma 3 270M,Google,Google training dataset,8.76%
