model_name,provider,dataset,weighted_score
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,24.06%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,23.90%
Grok 2 (Dec '24),xAI,xAI training dataset,23.82%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,23.45%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,22.99%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,22.90%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,22.76%
Mistral Small 3.2,Mistral,Mistral training dataset,22.56%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,22.44%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,22.39%
Command-R (Mar '24),Cohere,Cohere training dataset,22.23%
Command-R (Aug '24),Cohere,Cohere training dataset,22.14%
Mistral 7B Instruct,Mistral,Mistral training dataset,22.06%
Devstral Small (Jul '25),Mistral,Mistral training dataset,22.00%
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,21.93%
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,21.85%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,21.79%
Grok-1,xAI,xAI training dataset,21.69%
R1 1776,Perplexity,Perplexity training dataset,21.66%
Devstral Small (May '25),Mistral,Mistral training dataset,21.48%
Gemma 3 1B Instruct,Google,Google training dataset,21.25%
Arctic Instruct,Snowflake,Snowflake training dataset,21.14%
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,21.11%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,21.09%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,20.76%
Solar Mini,Upstage,Upstage training dataset,20.70%
Gemma 2 27B,Google,Google training dataset,20.63%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,20.57%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,20.48%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,20.39%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,20.10%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,19.87%
Codestral (May '24),Mistral,Mistral training dataset,19.79%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,19.67%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,19.37%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,18.60%
Llama 3 Instruct 70B,Meta,Meta training dataset,18.55%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,18.43%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,18.16%
Gemma 2 9B,Google,Google training dataset,17.87%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,17.85%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,17.25%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,17.23%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,17.18%
Llama 2 Chat 7B,Meta,Meta training dataset,17.17%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,17.00%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,16.98%
Command A,Cohere,Cohere training dataset,16.85%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,16.79%
Llama 4 Scout,Meta,Meta training dataset,16.76%
Mistral Small (Sep '24),Mistral,Mistral training dataset,16.48%
Pixtral Large,Mistral,Mistral training dataset,16.38%
Command-R+ (Aug '24),Cohere,Cohere training dataset,16.29%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,16.26%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,16.17%
Llama 3 Instruct 8B,Meta,Meta training dataset,16.05%
Granite 4.0 H Small,IBM,IBM training dataset,15.77%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,15.71%
MiniMax-Text-01,MiniMax,MiniMax training dataset,15.44%
Llama 2 Chat 70B,Meta,Meta training dataset,15.39%
Command-R+ (Apr '24),Cohere,Cohere training dataset,15.34%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,15.20%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,15.14%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,15.06%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,14.86%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,14.61%
Llama 2 Chat 13B,Meta,Meta training dataset,14.57%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,14.47%
Mistral Small 3.1,Mistral,Mistral training dataset,14.37%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,14.23%
Pixtral 12B (2409),Mistral,Mistral training dataset,14.09%
DBRX Instruct,Databricks,Databricks training dataset,13.89%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,13.63%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,13.39%
Gemma 3 27B Instruct,Google,Google training dataset,13.38%
Mistral Small 3,Mistral,Mistral training dataset,13.24%
Mistral NeMo,Mistral,Mistral training dataset,13.20%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,13.14%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,12.98%
LFM 40B,Liquid AI,Liquid AI training dataset,12.79%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,11.91%
Gemma 3 12B Instruct,Google,Google training dataset,11.84%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,10.89%
Gemma 3n E4B Instruct,Google,Google training dataset,10.12%
Granite 4.0 Micro,IBM,IBM training dataset,10.07%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,10.02%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,9.44%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,8.78%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,8.76%
Gemma 3 4B Instruct,Google,Google training dataset,8.18%
Granite 4.0 H 1B,IBM,IBM training dataset,8.06%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,7.84%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,7.80%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,7.67%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,7.59%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,7.11%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,6.81%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,6.67%
Aya Expanse 32B,Cohere,Cohere training dataset,6.55%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,6.50%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,6.38%
Gemma 3n E2B Instruct,Google,Google training dataset,6.36%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,6.30%
Granite 4.0 1B,IBM,IBM training dataset,6.15%
Ministral 8B,Mistral,Mistral training dataset,5.45%
Gemma 3 270M,Google,Google training dataset,4.06%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,3.75%
Aya Expanse 8B,Cohere,Cohere training dataset,2.98%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,2.96%
Granite 4.0 H 350M,IBM,IBM training dataset,2.56%
Granite 4.0 350M,IBM,IBM training dataset,2.20%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,2.00%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,1.60%
