model_name,provider,dataset,weighted_score
Devstral Small (Jul '25),Mistral,Mistral training dataset,22.73%
Llama 4 Maverick,Meta,Meta training dataset,22.72%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,22.61%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,22.34%
Gemma 2 27B,Google,Google training dataset,22.33%
Solar Mini,Upstage,Upstage training dataset,22.23%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,22.23%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,21.92%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,21.43%
Codestral (May '24),Mistral,Mistral training dataset,20.74%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,20.52%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,20.37%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,20.33%
Llama 3 Instruct 70B,Meta,Meta training dataset,20.09%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,20.03%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,19.58%
Gemma 2 9B,Google,Google training dataset,19.40%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,19.34%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,19.27%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,19.11%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,18.97%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,18.75%
Mistral Small (Sep '24),Mistral,Mistral training dataset,18.66%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,18.42%
Llama 2 Chat 7B,Meta,Meta training dataset,18.30%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,18.14%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,17.95%
Command-R+ (Aug '24),Cohere,Cohere training dataset,17.65%
Gemma 3 1B Instruct,Google,Google training dataset,17.50%
Llama 3 Instruct 8B,Meta,Meta training dataset,17.49%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,17.39%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,17.31%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,17.12%
Llama 2 Chat 70B,Meta,Meta training dataset,16.97%
Command-R+ (Apr '24),Cohere,Cohere training dataset,16.95%
Llama 2 Chat 13B,Meta,Meta training dataset,16.23%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,16.18%
Pixtral 12B (2409),Mistral,Mistral training dataset,15.91%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,15.87%
Llama 4 Scout,Meta,Meta training dataset,15.86%
Command A,Cohere,Cohere training dataset,15.75%
DBRX Instruct,Databricks,Databricks training dataset,15.65%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,15.39%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,15.38%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,15.22%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,15.13%
Granite 4.0 H Small,IBM,IBM training dataset,15.08%
Mistral NeMo,Mistral,Mistral training dataset,15.02%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,14.97%
LFM 40B,Liquid AI,Liquid AI training dataset,14.79%
MiniMax-Text-01,MiniMax,MiniMax training dataset,14.57%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,14.45%
Pixtral Large,Mistral,Mistral training dataset,14.39%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,14.38%
Gemma 3 27B Instruct,Google,Google training dataset,14.12%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,13.66%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,13.14%
Mistral Small 3.1,Mistral,Mistral training dataset,12.77%
Gemma 3 12B Instruct,Google,Google training dataset,12.45%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,12.40%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,11.98%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,11.83%
Mistral Small 3,Mistral,Mistral training dataset,11.71%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,11.50%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,11.47%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,11.08%
Gemma 3n E4B Instruct,Google,Google training dataset,10.40%
Granite 4.0 Micro,IBM,IBM training dataset,9.25%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,8.69%
Gemma 3 4B Instruct,Google,Google training dataset,8.57%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,8.54%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,8.26%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,8.06%
Granite 4.0 H 1B,IBM,IBM training dataset,7.79%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,7.46%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,7.28%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,7.27%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,7.25%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,6.74%
Gemma 3n E2B Instruct,Google,Google training dataset,6.65%
Granite 4.0 1B,IBM,IBM training dataset,6.33%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,6.02%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,5.90%
Aya Expanse 32B,Cohere,Cohere training dataset,5.61%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,5.24%
Ministral 8B,Mistral,Mistral training dataset,4.81%
Gemma 3 270M,Google,Google training dataset,3.78%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,3.50%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,3.12%
Granite 4.0 H 350M,IBM,IBM training dataset,2.54%
Aya Expanse 8B,Cohere,Cohere training dataset,2.38%
Granite 4.0 350M,IBM,IBM training dataset,2.02%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,1.85%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,1.28%
