model_name,provider,dataset,weighted_score
Magistral Small 1.2,Mistral,Mistral training dataset,55.51%
DeepSeek V3.1 (Non-reasoning),DeepSeek,DeepSeek training dataset,54.88%
DeepSeek V3 0324,DeepSeek,DeepSeek training dataset,54.65%
Qwen3 Next 80B A3B Instruct,Alibaba,Alibaba training dataset,54.63%
Qwen3 Omni 30B A3B (Reasoning),Alibaba,Alibaba training dataset,54.34%
EXAONE 4.0 32B (Reasoning),LG AI Research,LG AI Research training dataset,54.21%
Qwen3 VL 32B Instruct,Alibaba,Alibaba training dataset,53.74%
Qwen3 32B (Reasoning),Alibaba,Alibaba training dataset,53.40%
DeepSeek R1 (Jan '25),DeepSeek,DeepSeek training dataset,53.25%
Hermes 4 - Llama-3.1 405B (Reasoning),Nous Research,Nous Research training dataset,53.16%
Qwen3 Coder 480B A35B Instruct,Alibaba,Alibaba training dataset,52.91%
Command-R (Aug '24),Cohere,Cohere training dataset,52.59%
Command-R (Mar '24),Cohere,Cohere training dataset,52.57%
Qwen3 30B A3B (Reasoning),Alibaba,Alibaba training dataset,52.35%
Solar Pro 2 (Reasoning),Upstage,Upstage training dataset,52.30%
Ring-flash-2.0,InclusionAI,InclusionAI training dataset,52.01%
Hermes 4 - Llama-3.1 70B (Reasoning),Nous Research,Nous Research training dataset,51.61%
GLM-4.5V (Reasoning),Z AI,Z AI training dataset,51.46%
Qwen3 14B (Reasoning),Alibaba,Alibaba training dataset,51.43%
Llama 3.1 Nemotron Ultra 253B v1 (Reasoning),NVIDIA,NVIDIA training dataset,51.33%
Qwen3 VL 30B A3B Instruct,Alibaba,Alibaba training dataset,50.45%
Ling-flash-2.0,InclusionAI,InclusionAI training dataset,50.19%
Mistral 7B Instruct,Mistral,Mistral training dataset,49.46%
MiniMax M1 40k,MiniMax,MiniMax training dataset,49.37%
Codestral-Mamba,Mistral,Mistral training dataset,48.94%
Llama 3.3 Nemotron Super 49B v1 (Reasoning),NVIDIA,NVIDIA training dataset,48.55%
Qwen3 30B A3B 2507 Instruct,Alibaba,Alibaba training dataset,48.20%
Mistral Medium 3.1,Mistral,Mistral training dataset,47.91%
NVIDIA Nemotron Nano 9B V2 (Reasoning),NVIDIA,NVIDIA training dataset,47.47%
QwQ 32B,Alibaba,Alibaba training dataset,47.36%
Llama 4 Maverick,Meta,Meta training dataset,47.30%
NVIDIA Nemotron Nano 9B V2 (Non-reasoning),NVIDIA,NVIDIA training dataset,46.43%
ERNIE 4.5 300B A47B,Baidu,Baidu training dataset,46.04%
Qwen2.5 Max,Alibaba,Alibaba training dataset,46.01%
Qwen3 VL 8B (Reasoning),Alibaba,Alibaba training dataset,45.36%
DeepSeek R1 Distill Qwen 32B,DeepSeek,DeepSeek training dataset,45.17%
Qwen3 235B A22B (Non-reasoning),Alibaba,Alibaba training dataset,44.93%
Solar Pro 2 (Non-reasoning),Upstage,Upstage training dataset,44.92%
Qwen3 Omni 30B A3B Instruct,Alibaba,Alibaba training dataset,44.30%
Qwen3 Coder 30B A3B Instruct,Alibaba,Alibaba training dataset,44.10%
DeepSeek R1 Distill Llama 70B,DeepSeek,DeepSeek training dataset,44.05%
Qwen3 4B 2507 Instruct,Alibaba,Alibaba training dataset,43.97%
DeepSeek V3 (Dec '24),DeepSeek,DeepSeek training dataset,43.85%
Qwen3 8B (Reasoning),Alibaba,Alibaba training dataset,42.89%
Qwen3 14B (Non-reasoning),Alibaba,Alibaba training dataset,42.83%
EXAONE 4.0 32B (Non-reasoning),LG AI Research,LG AI Research training dataset,42.78%
Qwen2.5 Instruct 72B,Alibaba,Alibaba training dataset,42.66%
Hermes 4 - Llama-3.1 405B (Non-reasoning),Nous Research,Nous Research training dataset,42.59%
Llama 3.3 Instruct 70B,Meta,Meta training dataset,42.57%
Grok 2 (Dec '24),xAI,xAI training dataset,42.25%
Llama 3.1 Tulu3 405B,Allen Institute for AI,Allen Institute for AI training dataset,42.22%
Llama 4 Scout,Meta,Meta training dataset,41.92%
DeepSeek R1 Distill Qwen 14B,DeepSeek,DeepSeek training dataset,41.73%
Mistral Small 3.2,Mistral,Mistral training dataset,41.72%
Qwen3 32B (Non-reasoning),Alibaba,Alibaba training dataset,41.20%
DeepSeek R1 0528 Qwen3 8B,DeepSeek,DeepSeek training dataset,41.15%
Qwen3 30B A3B (Non-reasoning),Alibaba,Alibaba training dataset,40.65%
MiniMax-Text-01,MiniMax,MiniMax training dataset,40.51%
Qwen3 VL 8B Instruct,Alibaba,Alibaba training dataset,40.41%
Pixtral Large,Mistral,Mistral training dataset,40.18%
Qwen3 VL 4B (Reasoning),Alibaba,Alibaba training dataset,40.12%
Llama 3.1 Instruct 405B,Meta,Meta training dataset,40.02%
Qwen2.5 Instruct 32B,Alibaba,Alibaba training dataset,39.90%
Mistral Large 2 (Nov '24),Mistral,Mistral training dataset,39.89%
GLM-4.5V (Non-reasoning),Z AI,Z AI training dataset,39.89%
Ling-mini-2.0,InclusionAI,InclusionAI training dataset,39.59%
Llama 3.3 Nemotron Super 49B v1 (Non-reasoning),NVIDIA,NVIDIA training dataset,39.42%
Command A,Cohere,Cohere training dataset,39.33%
Qwen3 4B (Reasoning),Alibaba,Alibaba training dataset,39.32%
Devstral Small (Jul '25),Mistral,Mistral training dataset,39.24%
Grok-1,xAI,xAI training dataset,38.81%
R1 1776,Perplexity,Perplexity training dataset,38.79%
DeepSeek-OCR,DeepSeek,DeepSeek training dataset,38.78%
DeepSeek-V2.5 (Dec '24),DeepSeek,DeepSeek training dataset,38.68%
Llama Nemotron Super 49B v1.5 (Non-reasoning),NVIDIA,NVIDIA training dataset,38.58%
Solar Mini,Upstage,Upstage training dataset,38.37%
DeepSeek-V2.5,DeepSeek,DeepSeek training dataset,38.34%
Qwen3 VL 4B Instruct,Alibaba,Alibaba training dataset,38.17%
Qwen2.5 Coder Instruct 32B,Alibaba,Alibaba training dataset,38.12%
Mistral Large 2 (Jul '24),Mistral,Mistral training dataset,37.52%
Llama 3.2 Instruct 90B (Vision),Meta,Meta training dataset,37.42%
Llama 3.1 Nemotron Instruct 70B,NVIDIA,NVIDIA training dataset,37.32%
Exaone 4.0 1.2B (Reasoning),LG AI Research,LG AI Research training dataset,37.28%
Devstral Small (May '25),Mistral,Mistral training dataset,37.28%
Qwen3 8B (Non-reasoning),Alibaba,Alibaba training dataset,37.06%
Kimi Linear 48B A3B Instruct,Moonshot AI,Moonshot AI training dataset,37.05%
DeepSeek-Coder-V2,DeepSeek,DeepSeek training dataset,36.97%
Reka Flash 3,Reka AI,Reka AI training dataset,36.65%
Hermes 4 - Llama-3.1 70B (Non-reasoning),Nous Research,Nous Research training dataset,36.44%
Qwen2.5 Turbo,Alibaba,Alibaba training dataset,36.24%
Mistral Small 3.1,Mistral,Mistral training dataset,36.11%
Qwen3 4B (Non-reasoning),Alibaba,Alibaba training dataset,36.00%
Arctic Instruct,Snowflake,Snowflake training dataset,36.00%
Jamba Reasoning 3B,AI21 Labs,AI21 Labs training dataset,35.85%
DeepSeek LLM 67B Chat (V1),DeepSeek,DeepSeek training dataset,35.78%
Qwen3 1.7B (Reasoning),Alibaba,Alibaba training dataset,35.44%
Gemma 3 27B Instruct,Google,Google training dataset,35.43%
DeepSeek-V2-Chat,DeepSeek,DeepSeek training dataset,35.42%
Llama 3.1 Instruct 70B,Meta,Meta training dataset,35.07%
Llama 3.1 Nemotron Nano 4B v1.1 (Reasoning),NVIDIA,NVIDIA training dataset,35.05%
Phi-4,Microsoft Azure,Microsoft Azure training dataset,34.64%
Granite 4.0 H Small,IBM,IBM training dataset,34.56%
DeepHermes 3 - Mistral 24B Preview (Non-reasoning),Nous Research,Nous Research training dataset,34.08%
Mistral Small 3,Mistral,Mistral training dataset,33.81%
Gemma 2 27B,Google,Google training dataset,33.80%
Gemma 3 12B Instruct,Google,Google training dataset,33.23%
Hermes 3 - Llama-3.1 70B,Nous Research,Nous Research training dataset,32.74%
Llama 3 Instruct 70B,Meta,Meta training dataset,32.68%
Jamba 1.6 Large,AI21 Labs,AI21 Labs training dataset,32.22%
Jamba 1.7 Large,AI21 Labs,AI21 Labs training dataset,31.78%
Exaone 4.0 1.2B (Non-reasoning),LG AI Research,LG AI Research training dataset,31.38%
Mistral Small (Sep '24),Mistral,Mistral training dataset,30.59%
DeepSeek R1 Distill Llama 8B,DeepSeek,DeepSeek training dataset,29.73%
Mixtral 8x22B Instruct,Mistral,Mistral training dataset,29.71%
LFM2 8B A1B,Liquid AI,Liquid AI training dataset,28.91%
Qwen2.5 Coder Instruct 7B ,Alibaba,Alibaba training dataset,28.43%
Phi-4 Multimodal Instruct,Microsoft Azure,Microsoft Azure training dataset,27.69%
OLMo 2 32B,Allen Institute for AI,Allen Institute for AI training dataset,26.89%
Llama 3.1 Instruct 8B,Meta,Meta training dataset,26.48%
Pixtral 12B (2409),Mistral,Mistral training dataset,26.46%
Gemma 3n E4B Instruct,Google,Google training dataset,26.02%
Gemma 2 9B,Google,Google training dataset,25.59%
Llama 3.2 Instruct 11B (Vision),Meta,Meta training dataset,25.35%
Granite 4.0 Micro,IBM,IBM training dataset,25.23%
Granite 3.3 8B (Non-reasoning),IBM,IBM training dataset,24.84%
Llama 2 Chat 70B,Meta,Meta training dataset,24.55%
LFM 40B,Liquid AI,Liquid AI training dataset,24.36%
DeepSeek Coder V2 Lite Instruct,DeepSeek,DeepSeek training dataset,24.26%
Phi-4 Mini Instruct,Microsoft Azure,Microsoft Azure training dataset,24.20%
Qwen3 1.7B (Non-reasoning),Alibaba,Alibaba training dataset,24.18%
Phi-3 Medium Instruct 14B,Microsoft Azure,Microsoft Azure training dataset,24.14%
Jamba 1.7 Mini,AI21 Labs,AI21 Labs training dataset,24.08%
Command-R+ (Aug '24),Cohere,Cohere training dataset,24.04%
Gemma 3 4B Instruct,Google,Google training dataset,23.95%
Command-R+ (Apr '24),Cohere,Cohere training dataset,23.66%
Qwen3 0.6B (Reasoning),Alibaba,Alibaba training dataset,23.53%
Llama 3 Instruct 8B,Meta,Meta training dataset,23.45%
Llama 2 Chat 13B,Meta,Meta training dataset,23.34%
DBRX Instruct,Databricks,Databricks training dataset,23.00%
Mistral NeMo,Mistral,Mistral training dataset,22.79%
Llama 3.2 Instruct 3B,Meta,Meta training dataset,22.20%
Codestral (May '24),Mistral,Mistral training dataset,22.19%
Granite 4.0 1B,IBM,IBM training dataset,21.74%
Jamba 1.6 Mini,AI21 Labs,AI21 Labs training dataset,21.66%
Mixtral 8x7B Instruct,Mistral,Mistral training dataset,21.62%
Phi-3 Mini Instruct 3.8B,Microsoft Azure,Microsoft Azure training dataset,21.42%
Granite 4.0 H 1B,IBM,IBM training dataset,21.10%
DeepHermes 3 - Llama-3.1 8B Preview (Non-reasoning),Nous Research,Nous Research training dataset,20.78%
Aya Expanse 32B,Cohere,Cohere training dataset,20.44%
OpenChat 3.5 (1210),OpenChat,OpenChat training dataset,20.08%
LFM2 2.6B,Liquid AI,Liquid AI training dataset,19.62%
Gemma 3n E2B Instruct,Google,Google training dataset,19.43%
Ministral 8B,Mistral,Mistral training dataset,19.13%
Llama 2 Chat 7B,Meta,Meta training dataset,18.18%
Qwen3 0.6B (Non-reasoning),Alibaba,Alibaba training dataset,17.88%
Molmo 7B-D,Allen Institute for AI,Allen Institute for AI training dataset,17.48%
LFM2 1.2B,Liquid AI,Liquid AI training dataset,17.27%
Aya Expanse 8B,Cohere,Cohere training dataset,17.09%
OLMo 2 7B,Allen Institute for AI,Allen Institute for AI training dataset,16.78%
DeepSeek R1 Distill Qwen 1.5B,DeepSeek,DeepSeek training dataset,15.89%
Llama 3.2 Instruct 1B,Meta,Meta training dataset,15.15%
Granite 4.0 H 350M,IBM,IBM training dataset,13.23%
Granite 4.0 350M,IBM,IBM training dataset,12.41%
Gemma 3 1B Instruct,Google,Google training dataset,11.41%
Gemma 3 270M,Google,Google training dataset,8.75%
